SepalLengthCm,SepalWidthCm,Species
0.22222222222222213,0.5909090909090908,0
0.1666666666666668,0.36363636363636354,0
0.11111111111111119,0.45454545454545453,0
0.08333333333333327,0.409090909090909,0
0.19444444444444448,0.6363636363636362,0
0.30555555555555564,0.7727272727272726,0
0.08333333333333327,0.5454545454545453,0
0.19444444444444448,0.5454545454545453,0
0.027777777777777922,0.318181818181818,0
0.1666666666666668,0.409090909090909,0
0.30555555555555564,0.6818181818181818,0
0.13888888888888887,0.5454545454545453,0
0.13888888888888887,0.36363636363636354,0
0.0,0.36363636363636354,0
0.41666666666666663,0.818181818181818,0
0.38888888888888895,1.0,0
0.30555555555555564,0.7727272727272726,0
0.22222222222222213,0.5909090909090908,0
0.38888888888888895,0.7272727272727271,0
0.22222222222222213,0.7272727272727271,0
0.30555555555555564,0.5454545454545453,0
0.22222222222222213,0.6818181818181818,0
0.08333333333333327,0.6363636363636362,0
0.22222222222222213,0.4999999999999998,0
0.13888888888888887,0.5454545454545453,0
0.19444444444444448,0.36363636363636354,0
0.19444444444444448,0.5454545454545453,0
0.25000000000000006,0.5909090909090908,0
0.25000000000000006,0.5454545454545453,0
0.11111111111111119,0.45454545454545453,0
0.13888888888888887,0.409090909090909,0
0.30555555555555564,0.5454545454545453,0
0.25000000000000006,0.8636363636363633,0
0.3333333333333333,0.9090909090909091,0
0.1666666666666668,0.409090909090909,0
0.19444444444444448,0.45454545454545453,0
0.3333333333333333,0.5909090909090908,0
0.1666666666666668,0.409090909090909,0
0.027777777777777922,0.36363636363636354,0
0.22222222222222213,0.5454545454545453,0
0.19444444444444448,0.5909090909090908,0
0.055555555555555594,0.04545454545454529,0
0.027777777777777922,0.45454545454545453,0
0.19444444444444448,0.5909090909090908,0
0.22222222222222213,0.7272727272727271,0
0.13888888888888887,0.36363636363636354,0
0.22222222222222213,0.7272727272727271,0
0.08333333333333327,0.45454545454545453,0
0.27777777777777773,0.6818181818181818,0
0.19444444444444448,0.4999999999999998,0
0.5555555555555555,0.4999999999999998,1
0.41666666666666663,0.22727272727272727,1
0.7777777777777776,0.36363636363636354,1
0.5555555555555555,0.318181818181818,1
0.611111111111111,0.36363636363636354,1
0.9166666666666665,0.36363636363636354,1
0.1666666666666668,0.13636363636363627,1
0.8333333333333333,0.318181818181818,1
0.6666666666666666,0.13636363636363627,1
0.8055555555555556,0.6363636363636362,1
0.611111111111111,0.45454545454545453,1
0.5833333333333334,0.22727272727272727,1
0.6944444444444443,0.36363636363636354,1
0.38888888888888895,0.13636363636363627,1
0.41666666666666663,0.27272727272727254,1
0.5833333333333334,0.45454545454545453,1
0.611111111111111,0.36363636363636354,1
0.9444444444444444,0.7272727272727271,1
0.9444444444444444,0.18181818181818177,1
0.4722222222222222,0.0,1
0.7222222222222222,0.45454545454545453,1
0.361111111111111,0.27272727272727254,1
0.9444444444444444,0.27272727272727254,1
0.5555555555555555,0.22727272727272727,1
0.6666666666666666,0.4999999999999998,1
0.8055555555555556,0.45454545454545453,1
0.5277777777777778,0.27272727272727254,1
0.4999999999999999,0.36363636363636354,1
0.5833333333333334,0.27272727272727254,1
0.8055555555555556,0.36363636363636354,1
0.8611111111111112,0.27272727272727254,1
1.0,0.7272727272727271,1
0.5833333333333334,0.27272727272727254,1
0.5555555555555555,0.27272727272727254,1
0.4999999999999999,0.18181818181818177,1
0.9444444444444444,0.36363636363636354,1
0.5555555555555555,0.5454545454545453,1
0.5833333333333334,0.409090909090909,1
0.4722222222222222,0.36363636363636354,1
0.7222222222222222,0.409090909090909,1
0.6666666666666666,0.409090909090909,1
0.7222222222222222,0.409090909090909,1
0.41666666666666663,0.22727272727272727,1
0.6944444444444443,0.45454545454545453,1
0.6666666666666666,0.4999999999999998,1
0.6666666666666666,0.36363636363636354,1
0.5555555555555555,0.13636363636363627,1
0.611111111111111,0.36363636363636354,1
0.5277777777777778,0.5454545454545453,1
0.44444444444444453,0.36363636363636354,1
